Species,Color
Tristaniopsis laurina :: Swamp Myrtle,#FFC107
Arbutus Marina :: Hybrid Strawberry Tree,#1976D2
Magnolia grandiflora :: Southern Magnolia,#607D8B
Ginkgo biloba :: Maidenhair Tree,#AFB42B
Metrosideros excelsa :: New Zealand Xmas Tree,#f44336
Ligustrum lucidum :: Glossy Privet,#E64A19
Prunus cerasifera :: Cherry Plum,#FFEB3B
Eriobotrya deflexa :: Bronze Loquat,#388E3C
Pyrus calleryana :: Ornamental Pear,#FBC02D
Olea europaea :: Olive Tree,#303F9F
Pittosporum undulatum :: Victorian Box,#E91E63
Ficus microcarpa nitida Green Gem :: Indian Laurel Fig Tree Green Gem,#00BCD4
Callistemon citrinus :: Lemon Bottlebrush,#795548
Acacia melanoxylon :: Blackwood Acacia,#7B1FA2
Maytenus boaria :: Mayten,#00796B
Ulmus parvifolia :: Chinese Elm,#d32f2f
Prunus serrulata :: Ornamental Cherry,#9C27B0
Prunus serrulata Kwanzan :: Kwanzan Flowering Cherry,#673AB7
Platanus x hispanica :: Sycamore: London Plane,#4CAF50
Lophostemon confertus :: Brisbane Box,#2196F3
Corymbia ficifolia :: Red Flowering Gum,#FF9800
